english term	urdu equivalent
Richard Dedekind (german pronunciation)	رشارت  دےدےکند
Richter scale (Charles Francis Richter)	چارلس فرانسس رکٹر
Riemann: Bernhard Riemann	برنہارڈ ریمان
Riemann number sphere	ریمان کرہ اعداد
Riemann zeta function	ریمان زیٹا تفاعل
right angle: cuts line  at right angle	زاویہ قائمہ پر قطع کرتی ہے
right triangle	قائمہ الزاویہ مثلث
Right-sided test	دایاں طرفہ پرکھ
rigid rotor (quantum mech)	بے لچک پھرکی
rigorous	پختہ
ripple (DC supply)	بل
ripple counter	لہر نما دہری گنتی کرنے والا دور
rise, fall	اوپر اٹھتا، نیچے گرتا؛ اٹھتا بیٹھتا، اتار، چھڑاو
risk	خطرہ مولنا، خطر
risk: producer's risk, consumer's risk	خطر پیداکار، خطر خریدار
rising edge, falling edge, rise time, fall time, propagation time	کنارہِ چڑھائی، کنارہِ اترائی، دورانیہ اترائی، دورانیہ چڑھائی، دورانیہ ردِ عمل
rocket	راکٹ
Rockwell hardness	راک ویل سختی
Rodrigues: Benjamin Olinde Rodrigues	بنجامن اولانڈے روڈریگیس
rods, cones:eye	سلاخ، مخروطے، مخروط
Rolle's theorem; Michel Rolle	مسئلہ رول؛ مشل رول
rolling motion	لڑھکاؤ
ROM: non-volatile memory	پختہ حافظہ
roof lines	رکاوٹی لکیریں
room temperature	رہائشی درجہ حرارت
root: square root, cube root, fourth root	جذر المربع، جذر الکعب، جذر المال
roots of equation (in urdu it is jazar)	مساوات کے جذر
root mean square rms	موثر قیمت
Ronald Aylmer Fisher	رونلڈ ایلمر فشر
rotate	گھومنا
rotating	گھومنا
rotating wave approximation	گھومتی موج تخمین
rotational axis	گھومنے کا محور، محور گھماو
rotation: generator of rotations	گھومنے کا پیداکار
rotor	حرکت پذیر، گھومنے والا حصہ
roughly speaking	اندازً بات کرتے ہوئے
round off, rounding	پور و پور؛ اوپر کو پور و پور، نیچے کو پور و پور
rounding error	پوروپور خلل
row equivalent	صف برابر، معادل صف
row (matrix)	صف
rubber band	ربڑی پٹی
ruler (foot rule)	مسطر
rule, rules	قاعدہ، قواعد
rule: right hand rule, left hand rule	دائیں ہاتھ قاعدہ، بائیں ہاتھ قاعدہ
Runge-Kutta method	ترکیب رنج کوٹا
Runge-Kutta:Wilhelm Kutta	ولہلم کوٹا
Runge-Kutta: Carl Runge	کارل رنج
rupee	روپیہ
Rydberg constane	رڈبرگ
Saddle point, stationary point	ساکن نقطہ، نقطہ زین
safe	محفوظ
salient pole	ابھرے قطب اور ہموار قطب
same	ایک جیسی، ایک جتنے ، یہی، وہی، بعینہہ یہی یا وہی، برابر ہوں
Sample  [Model]	نمونہ [حسابی نمونہ]
sample distribution function	تقسیمی تفاعل نمونہ
sample space	نمونی فضا
sample values	نمونی قیمتیں
sampling: acceptance sampling	قبولیت نمونہ
sampling plan: single sampling plan, double sampling plan	نمونی منصوبہ، واحد نمونی منصوبہ، دوہرا نمونی منصوبہ
sampling property	خاصیت نمونہ بندی
sampling	نمونہ بندی
sampling	آواز کو عددی طور پر ضبط کرنے کا عمل
sandwich	بیچ لپیٹنا، لپیٹنا، میں لپیٹ کر
sandwich theorem	مسئلہ بیچ
satellite	مصنوعی سیارہ
satellites: sputnik, vanguard, syncom, skylab, tiros,GOES,intelsat	
satellites: proton, viking,	پروٹان، وائکنگ
satisfied	مطمئن
saturation region: transistor	غیر-افزائندہ حال
saturate	سیراب ہونا، لبریز ہونا 
saturated	سیراب، لبریز 
Saturn planet	زحل
saw tooth	آری کے دندے
saw tooth wave	دندان موج
scalar	غیر سمتی مقدار
scalar triple product, mixed triple product	غیر سمتی سہ ضرب
scale	پیمانہ
scale: change of scale	پیمائشی فیتہ میں ردوبدل، درجہ وار پیمانہ
Scale: log-log scale	پیمائش: لاگ لاگ پیمائش، ناپ
scale: not to scale	درست پیمانہ کے مطابق نہیں ہے
scaling, row scaling	تبدیلی پیما، تبدیلی پیما صف
scatter	فشاں؟، بکھرنا، بکھراو
scatter off	بکھرتا ہے، بکھرنا
scattering amplitude	حیطہ بکھراو
scattering angle	زاویہ بکھراو
scattering states (quantum mech)	بکھرتے حالات، بکھراو حال
scattering: quantum scattering	کوانٹائی بکھراو
scattering: differential (scattering) cross section	تفریقی (بکھراو) عمودی تراش
scattering: Rutherford scattering	ردرفورڈ بکھراو
Schrodinger: time-independent Schrodinger equation	غیر تابع وقت مساوات شروڈنگر
schrodinger equation	مساوات شروڈنگر
scope	دائرہ گفتگو، دسترس
scot (of scotland)	اسکاچی
screw gauge	پیچی پیما
sealer (water resistant)	مسالہ (پن روک)
secondary side	ثانوی جانب
sector	حلقہ
seesaw	ہنڈولا
seldom	شاذ و نادر
selection	چناؤ، انتخاب، مختص کرنا
self flux linkage	خود اِرتَباطِ رو
self inductance	خود امالہ
self excited DC machine	داخلی ہیجان شدہ یک سمتی مشین
semi	نیم
semiconductors	نیم موصل اشیاء
Semi-infinite region	نیم لامتناہی خطہ
Semi-log, log-log axis	نیم لاگ، لاگ لاگ محور
Sense: broader sense	وسیع معنوں میں
sense: positive sense of curve (maths) (also called positive direction)	منحنی کی مثبت دائری سمت (مثبت سمت)
sensitive	حساس
sensitivity	حساسیت، اثر پذیری
sensor, [detector]	محسس، [کاشف، شناس]
separable equation (ordinary differential equations)	قابل علیحدگی مساوات
separately excited DC machine	بیرونی ہیجان یک سمتی مشین، خارجی ہیجان شدہ
separation constant	علیحدگی مستقل
separation of variables (differential equations)	علیحدگی متغیرات
sequence	مرحلہ
sequence: abc, acb, red blue green	ترتیب
sequential circuits	ترتیبی ادوار
sequential search and binary search	ترتیبی اور ثنائی  تلاش
Sergeil L'vovich Sobolev (Russian mathematician)	سرگی لووچ سوبولو
serial port	سلسلہ وار راہ
Series Maclaurin	مکلارن تسلسل
series	سلسلا وار
series, power series	طاقتی تسلسل
series winding	سلسلہ وار لچھا
set: set x=3	ایکس=3 لیں
set: is set at 20 celcius	بیس درجہ پر مقرر ہے
set closure	بندش سلسلہ
set (maths), linearly independent set, subset	سلسلہ، خطی طور غیر تابع سلسلہ، ذیلی سلسلہ
set (maths) dimension	بُعد
set, reset	راغب، غیر راغب
set: solution set, null set, nullity	سلسلہ حل، معدوم سلسلہ، معدومیت
set, (sets)	مجموع، (مجامع)
set, subset	سلسلہ، ذیلی سلسلہ
set theory	نظریہ سلسلہ
settle down to x	ایکس قیمت اختیار کر چکے ہوں گے
several	ایک سے زائد
shaded	سائے دار
shaft	دُھرا
shape	شکل
share	شریک بنانا
shearing force	جزی قوت
orbit	مدار
shell	خول
shield	چاند بادلوں کی اوٹ میں ہے۔ دھندلا نظر آنا، چھپ جانا، آڑ مہیا کرنا
shield, to shield, shielded, electrostatic shielding	سپر، سپر کرنا، سپر شدہ، برقی سکونی سپر
shielded wire, unshielded: faraday shield	فیراڈے پردہ، بے پردہ تار، پردے میں تار
shift	سرک جانا، منتقل ہو جانا
shifted: time shifted unit step function	وقتی منقولہ اکائی سیڑھی تفاعل
shift left, shift right, serial shift, parallel shift	دائیں منتقلی، بائیں منتقلی، سلسلہ وار منتقلی، متوازی منتقلی  
short circuit	قصرِ دور: وہ نسبتا کم مزاحمت والا بغلی دور جو زیادہ مزاحمت والے برقی دور کے دو نقطوں کر درمیان بن جاتا ہے
short hand	مختصر نویسی، مختصر انداز لکھائی
short range force	قریب اثر قوت
side: primary side, secondary side	جانب، طرف: ابتدائی جانب، ثانوی جانب
side (of triangle or square)	ضلع
Siemens	سیمنز
Sign +, -, /, *	علامت
sign convention	علاماتی قاعدے
signed, unsigned number	علامت دار عدد، بے علامت عدد
signal	سگنل
signal generator	پیدا کارِ اشارات
significant: higher highest significant bit, lower lowest significant bit	بلند رتبہ والا دہرا عدد، بلند تر رتبہ والا ہندسہ، کم رتبہ، کم تر رتبہ والا ہندسہ
significant digits  (number representation)	معنی خیز ہندسے
significant digits  (number representation)	بامعنی ہندسے
significant deviation	معنی خیز انحراف
significant level	معنی خیز سطح
silver, [half silvered]	چاندی، [نیم نقرئی]
simplify	سہل بنانا
simplification	تسہیل
Simpson rule: Thomas Simpsom	قاعدہ سمسن
simulate	مصنوعیہ کرنا
simulation	مصنوعیہ کاری
simulator	مصنوعیہ کاری
simultaneous correction	بیک وقت اصلاح
sine, cosine, tangent	سائن، کوسائن، ٹینجنٹ
sine, sine integral, complementary sine integral	سائن، سائن تکمل، متمم سائن تکمل
single valued	واحد قیمت
singular	نادر
singular point; regular singularity, irregular singularity	منظم نادر نقطہ، غیر منظم نادر نقطہ
singular solution (differential equations), singular matrix	نادر حل، نادر قالب
singularity (function having no differential  eg. Step, impulse,  black hole)	نادر تفاعل
singularity, essential singularity	ندرت، لازمی ندرت
sink, current sink	خارج کار برقی رو
sinusoidal wave	سائن نما موج
size (indian matric maths)	پیمائش
skin depth	گہرائی جلد
similar triangles, similarity, similarity transformation	متشابہ مثلثات، متشابہت، متشابہت تبادلہ
simply connected (region, maths)	سادہ تعلق (والا خطہ)
simulation	نقل اتارنا
simultaneous equations	ہمزاد مساوات
situation	 صورت حال، صورتحال
skate, ice skate	پھسلن، برف پھسلن
sketch	خاکہ بنانا
skew matrix	منحرف قالب
skewness	ترچھاپن
Slater determinant (quantum mech)	مقطع سلیٹر
slice	کتلا
slip	سرک
slip knot, slip noose	سرک گرہ، سرک پھندا
slip ring	سرک چھلا
slipping	سرکنا
slope	شرح ڈھال
slope fields	میدان ڈھلوان
slot	شگاف
slotted line	شگاف دار تار
small quantities	متفرق (چھوٹی مدیں یا رقمیں)
Smith chart	سمتھ نقشہ
Smooth (a function is smooth at x0 if all its derivatives exist at x0)	ہموار
smooth: piecewise smooth	ٹکڑوں میں ہموار
smooth surface	ہموار سطح
smooth (english)	روانی
snail	گھونگا
Snell's law,  ibn Sahl's law of refraction	سنیل کا قانون، ابن سھل کا قانون انحراف
snow flakes (Helge von koch)	برفانی روئی، برف کی روئی (ہلگے ون کوچ)
snubber (power electronics: RC snubber)	چپٹی کار
socket: electrical	ساکٹ
sodium	سوڈیم
software, hardware	سافٹ وئیر
solar panel	شمسی چادر
solenoid	پیچواں لچھا
solid angle, beam solid angle (antenna)	ٹھوس زاویہ، ٹھوس زاویہ نقش
solid of revolution	جسم طواف
solutions: particular solution, complimentary solution, general solution	جبری حل، فطری حل، عمومی حل
solution, solutions	حل، حل
solution curve	منحنی حل
solution family	نسلِ حل
solution series	تسلسل حل
solution set	سلسلہ حل
solution space	حل فضا
solution vector	حل سمتیہ
solution (of liquids)	محلول
solve	حل کرنا
solution, solute, [solvent]	محلول، منحل، [محلل]
sommerfeld	سومرفلڈ
sonic boom	صوتی دھماکا
sophisticated	نفیس
source: dependent & independent voltage source	تابع منبع دباو، غیر تابع منبع دباو
source: dependent & independent current source	تابع اور غیر تابع منبع رو
source, sink	مثبت منبع، منفی منبع
source transformation theorem: norton to thevenin	مسئلہ تبادلہ منبع
source:voltage source, voltage supply	منبع برقی دباو، منبع دباو
source: current sink	خارج کار منبع رو
source: current source	داخل کار منبع رو
source	منبع، وسیلہ
source, current source	منبع برقی رو، منبع رو
south pole	جنوبی قطب
space: position space	مقامی فضا
space: momentum space	معیار حرکی فضا
space: dual space	دوہری فضا
space: null space (maths)	معدوم فضا
space: outer, [outside]	بیرونی فضا، [باہر]
space, row space, column space (set, maths)	فضا، صف فضا، قطار فضا
space: solution space	حل فضا
span (set, maths)	احاطہ
spatial	فضائی
spark	چنگاری، شعلہ
sparse matrix	غیر گنجان قالب
space curve	فضائی منحنی
special	مخصوص
special functions or higher functions (maths)	اعلٰی تفاعل
species	نسل
specification	تخصیص
spectral decomposition	طیفی تحلیل
spectral lines	طیفی خطوط
spectral packet	شعاعی پٹی
spectrometer	طیف پیما
spectroscopy, spectroscopist	طیف بینی، طیف پیمائی کار
spectrum; emission spectrum	طیف، اخراجی طیف
spectrum: amplitude spectrum, phase spectrum	مقداری طیف، زاویائی ہٹاو طیف
spectrum: discrete line spectrum	انفرادی لکیری طیف، غیر مسلسل طیف
spectral radius	رداس طیف
speedometer	رفتار پیما
sphere	کرہ۔کرہ ارض
spherical angle	کروی زاویہ
spherical co-ordinate system	کروی نظامِ محدد
spherical curve	کروی منحنی
spherical harmonic analysis	کروی ہارمونی تجزیہ
spherical harmonics	کروی ہارمونیات
spherically	کرّے کے طور پر
Spike, spikes, spikes at the point	سوزن، سوزنات ، نقطہ پر سوزن نما  ہوتا ہے، سوزنی
spike: to spike at	سوزن بننا
spike: voltage spike	سوزن نما دباو
split 	بٹ جانا، بٹنا
splitting: zeeman splitting, hyper fine splitting	زیمان بٹوارا، نہایت مہین بٹوارا
spin (quantum )	خلقی گھماو، چکر
spin (english use)	گھومنا، گھماو
spin angular momentum	چکری زاویائی معیار حرکت
spin degeneracy	چکری انحطاط
spin field (calculus last chapter)	چکری میدان
Spin-orbit coupling	چکرومدار ارتباط
spin: up spin, down spin (quantum)	چکر، اوپر چکر، نیچے چکر، ہم میدان اور مخالف میدان چکر
spin state	چکری حال
spinor, spinors, [eigenspinor]	چکرکار، دکرکاروں [امتیازی چکرکار]
spiral, helical	پیچ دار
spline; modern term is flexible curve	لچکدار منحنی
splitting	بانٹ، تقسیم
spontaneous: spontaneous emission	خود بخود؛ خود بخود اخراج
spring; spring constant (modulus of elasticity)	اسپرنگ؛ اسپرنگ مستقلہ، (مقیاس لچک)
square	مربع
square: completing the square	تکمیل مربع۔ مربع مکمل کرنا
square integrable function	مربع  متکامل تفاعل
square integrability	مربع متکاملیت
square integral	مربعی تکمل
square root	جذر
square wave	چوکور موج
square well	چوکور کنواں
squirrel cage	پنجرہ نما
stability	توازن
stable, unstable	مستحکم، استحکام، غیر مستحکم
stable: meta stable	نازک استحکام، نازک مستحکم 
stable, unstable	مستحکم، متوازن، مضبوط، پائیدار، نا پائیدار
stable: keep stable	قابو رکھنا، قابو کرنا
stage: three stage adder	درجہ: درجہ تین جمع کرنے والا دور، تین منزلہ جمع کار
standing wave ratio (s)	شرح ساکن موج
standard deviation	معیاری انحراف
Standard: standard form (of differential equation)	معیار، معیاری: معیاری حالت یا صورت یا شکل
standard rule	رواج، رائج طریقہ
Stark effect	شٹارک اثر
start from	آغاز کرنا
star connected: Y-connected, Delta connected	ستارا نما جُڑے، تکونی جُڑے یا تکون نما جُڑے
state vector	سمتیہ حال
statics	سکونیات
stationary point, saddle point	ساکن نقطہ
statistics, statistician	شماریات۔ ماہر شماریات
statistics: order statistics	شماریات رجحان
stator	ساکن حصہ
state, high state, low state, true, false	حال، بلند حال، پست حال، درست، غلط
state; ground state, excited state	زمینی حال، ہیجان حال
static field, electrostatic	ساکن میدان، برقی سکون
state: good state (quantum mech)	موزوں حال
Steady: steady state solution	برقرار: برقرار حالت حل
steady flow	یکساں بہاؤ
steady state, transient state	برقرار چالو، عارضی صورت
steady, steady state,steady state operation	یکساں حالت، برقرار: یکساں حال میں چالو
steel, (stainless steel)	فولاد (بے زنگ فولاد)
Stefan-Boltzmann formula	سٹیفن  و بولٹزمن کلیہ
Steiner theorem (Jacob Steiner)	مسئلہ سٹائنر؛ یعقوب سٹائنر
step by step method	قدم با قدم ترکیب
step length	لمبائی قدم
step: lowest, highest step (quantum mech)	بالا ترین، نچلا ترین پایہ
steps, different steps	اقدام، چال، مختلف مراحل
steps: take steps	اقدام اٹھانا
step; (h in euler iteration method)	قدم
step function (oliver heaviside)	 سیڑھی تفاعل: اکائی سیڑھی تفاعل، الیور ہیوی سائیڈ
stereographic projection	مجسم نگارانہ تظلیل
Stern-Gerlach	شٹرن و گرلاخ
stiff, stiffness	سخت، سختی، (اکڑ، اکڑا، اکڑا پن،  کڑا پن)
stimulated, stimulate	تحرک زدہ یا تحرک شدہ،  تحرک زنی یا تحرک دینا
Stirling formula: James Stirling	کلیہ سٹرلنگ: جیمس سٹرلنگ
stochastic; stochastic process	امکانی شماریات؛ امکانی شماریاتی عمل
Stokes theorem (George Gabriel Stokes)	مسئلہ سٹوکس (جارج جبرائیل سٹوکس)
store	ذخیرہ
straight line	خط مستقیم
strategy	لائحہ عمل
straw	چسنا، چسنی
stray: inductance	غیر مطلوب: امالہ
streamlines	سمت بہاو
stream function	تفاعل بہاو
strength: strength of impulse function	زور
stretch	تان
strong dependence	زیادہ تابعیت
strip off (electrons)	اکھاڑنا
strongly depend	زیادہ تابع ہے
stub; matching stub (transmission lines)	ہم رکاوٹی بنانے والا تار کا ٹکڑا، تار کا ٹکڑا، ٹکڑا تار
study	مطالعہ
Sturm-liouville problems; jacques charles francois sturm, joseph liouville	سٹیورم لیوویل مسئلہ؛ جیکویس چارلس فرانکوئس سٹیوورم، یوسف لییویل
sub: sub interval	ذیلی: ذیلی وقفہ
success	کامیابی
successive correction	یک بعد دیگرے، ہر اگلا
subject to 	مشروط
subtle, subtlties	پراسرار، باریکیاں
subscript, superscript	زیر نوشت، زیر بالا
substrate	زیریں
subsidiary equation (Laplace)	ضمنی مساوات
substitute	کی جگہ رکھنا، پُر کرنا، ڈالنا
substitution (method of integration and homogeneous equations)	ترکیب بدل
subtraction, addition	تفریق، جمع
sufficient (condition, maths), insufficient	کافی، نا کافی
sufficiently small	کافی چھوٹا
suggestive	معنی خیز، محرک خیال، خیال آفریں
suggests	ہمیں خیال آتا ہے؛ آمادہ کرتا ہے
suitable	موزوں
summary	خلاصہ، اختصار، اجمال
summation: summation over m gives us	ایم پر مجموعہ ہمیں ۔۔ دیاتا ہے
summation: lower (upper) limit of summation	مجموعی سلسلہ کا زیریں (بالائی) حد
sum: lower (upper) limit of sum	مجموعہ کا زیریں (بالائی، بالا) حد
summation mark	علامت مجموعہ
super: superconductor, super-symmetry	اعلٰی موصل، ایلٰی تشاکلی
super: superconducting electrons	 اعلٰی موصلی الیکٹران
superimposed	منطبق
superposition theorem	مسئلہ نفاذ
super node	مخلوط جوڑ
supply: DC voltage; AC current	یک سمت منبع برقی دباو، بدلتا منبع برقی رو، منبع طاقت
supply: voltage, current	پیدا کار برقی دباؤ، برقی رو
surds and indices (index)	غیر ناطق جذر اور طاقت
surface (plane) [plane surfaces]	سطح (مستوی)، [مستویات]
surface of revolution	سطح گردش، سطح طواف
Susceptance; 1/Z=G+jB;  G=conductance and B=susceptance, 	تاثریت
susceptibility, magnetic, electric	مقناطیسی اثر پذیری، برقی اثر پذیری
suspension bridge	معلق پل
sweep	جھاڑنا
sweep; sweeps equal area in equal times	مساوی اوقات میں مساوی رقبوں کو واضح کرتا ہے
swimming pool	تالاب تیراکی
switch on, switch off	چالو، بند، غیر چالو
switch on time, switch off time	لمحہ چالو، لمحہ غیر چالو
switch	سوئچ
switch board (telephone)	سوئچ بورڈ
switch: spst, spdt, dpst, dpdt	ایک قطب ایک چال سوئچ، ایک قطب دو چال سوئچ، دو قطب ایک چال سوئچ، دو قطب دو چال سوئچ
Switzerland	سوئزرلینڈ
symbol	علامت
symmetry	تشاکل
symmetry, translational, rotational	انتقالی تشاکل، گردشی تشاکل
symmetric	متشاکل تناسب، تشاکلی
symmetric: antisymmetric	خلاف تشاکلی
symmetric matrix, skew symmetric matrix	تشاکلی قالب، منحرف تشاکلی قالب
symmetric: super-symmetric quantum mechanics	اعلٰی تشاکلی کوانٹم میکانیات
symmetrize	تشاکلی بنانا
symmetrized	تشاکلی شدہ
symmetrization	تشاکلیت
symmetrization requirement, antisymmetrization requirement	ضرورت تشاکلیت، ضرورت خلاف تشاکلیت
synchronous, synchronously	ہم عصر، قدم ملا کر چلنا
synchronous generator	معاصر جنریٹر
synchronous circuits, asynchronous circuits	باقائدہ اور بے قائدہ ادوار
system	نظام
systemetic	منظم، با قاعدہ
Systems analysis	تجزیہ نظام
take: to take a value	قبول کرنا
takes into account	حساب رکھنا
tally mark	نشان شمار
tangents	مماسات
tangent of an angle	نسبت مماس
tangent plane	مماسی سطح، سطح مماس
tangent circles (matric)	مماسہ دائرے
tangent to a circle	دائرہ کا مماس
tangential	مماسہ
tangent,tangential	مماس۔ مماسی:سطح کو ایک نقطہ پر چھونے والا خط جو متقاطع نہ ہو
tangential length	مماس کا طول
tangent: loss tangent (waves)	مماس ضیاع
tapping	کھٹکا
tapping point	نکاس نقطہ
target, target value, [targets]	ہدف، مطلوبہ قیمت، [اہداف]
tank (water tank)	حوض، سبیل
tautochrones	یکساں وقتی منحنی
Taylor series: Brook Taylor	ٹیلر تسلس: بروک ٹیلر
Tchebichef polynomials: Pafnuty Lvovich Tchebichef	پفنوٹی لوو وچ چبیشف۔  چبیشف کثیر رکنی
technique	تکنیک
technology, technologies	ٹیکنالوجی؟؟؟، فن، فنون
telescope, reflective	انعکاسی دوربین
television	ٹیلی ویژن
Temperature; absolute (kelvin)	حرارت، حتمی حرارت، مطلق حرارت
temperature:physical	جسمانی حرارت
temperature: residual (big bang)	بقیہ حرارت
tends to zero	تقریبا صفر
tension	تناو
tensile strength	تنشی مضبوطی
tennis	ٹینس
tensor	تناوی مستقل
Tera byte	ٹیرا بائیٹ
term (sequences and series)	جزو
terminal voltage	حاصل برقی دباؤ، برقی سِروں پر حاصل برقی دباؤ
terminals: electrical terminals	برقی سِرے
terminal zero	ختمی صفر
terminate at	مختتم ہوتا ہے
terminology	اصطلاحات
Tesla	ٹسلا
test, [trial]	پرکھ، [آزمائش]
test charge	پیمہ بار، پیمائشی بار
Test (a test for something)	پرکھنا، پرکھ
tests:extrinsic and intrinsic	بیرونی پرکھ، اندرونی پرکھ
test: test function (quantum mechanics)	پرکھی تفاعل، پرکھیا تفاعل
test: Leibniz test	لیبنٹز پرکھ
test: limit comparison test	پرکھ تقابل حد
test: comparison test	تقابلی پرکھ
test: derivative test	تفرقی پرکھ
test:nonparametric, distribution-free	غیر مقدار معلوم پرکھ، تقسیم پاک پرکھ
test: root test, ratio test, comparison test	جذری پرکھ، تناسبی پرکھ، تقابلی پرکھ
test: nth root test	این واں جذر پرکھ
test: direct comparison test, limit comparison test	بلا واسطہ تقابلی پرکھ، بالراست تقابلی پرکحھ ، تقابل حد پرکھ
testing	پرکھنا
tetragonal	چو زاویہ
tetrahedron	چو سطحہ، چو سطحی
text book	درسی کتاب
theorem	مسئلہ
theorem: alternating series estimation theorem	مسئلہ بدلتے تسلسل کا اندازہ
theorem: error estimation theorem	مسئلہ اندازہ باقی
theorem: initial value theorem, final value theorem (Laplace)	مسئلہ ابتدائی قیمت، مسئلہ اختتامی قیمت
theorem, corollary, lemma, proof, definition, remark	مسئلہ:ضمنی نتیجہ، مسلمہ قطیہ، ثبوت، تعریف، قابل توجہ
theorem: linearization	مسئلہ خطی بنانا
theory, theoretical	نظریہ، نظریاتی
thermal	حراری، حری
thermal conductivity	حراری موصلیت، حری موصلیت
thermal noise	حراری شور، حری شور
thermal shield	حری سپر
thermometer	تھرمامیٹر
thermostatic switch	خود کار حراری سوئچ
thevenin	تھوِنن
thevenin: Leon Charles Thevenin	لیوں شارلس تھونن
Thomas precession	طامس استقبالی حرکت
three dimensional	تین طرفہ
three phase system	تین دوری نظام
threshold	دہلیز
thyroid gland	غدود درقیہ
tilt angle (polarized wave)	زاویہ جھکاو
time constant	وقتی مستقل
time domain: laplace transform	وقتی دائرہ کار
Time-scaling theorem (Laplace)	مسئلہ متناسب وقت
Time-shifting theorem (Laplace)	مسئلہ منتقلی وقت
time period T	دوری عرصہ 
time period: primitive time period	اولی دوری عرصہ
timing	اوقات کار
time delay, response time	دورانیہ ردِ عمل
time: high time, low time,response or delay time	بلند دورانیہ، پست دورانیہ،دورانیہ ردِ عمل 
time table	نظال الاوقات
timings: rising edge, falling edge, rise time, fall time, propagation time	کنارہِ چڑھائی، کنارہِ اترائی، دورانیہ اترائی، دورانیہ چڑھائی، دورانیہ ردِ عمل
Tolerance: values have 5% tolerance	خلل: قیمت میں پانچ فی صد خلل پایا جا سکتا ہے۔
tolerance: (the bolt’s tolerance is 5%)	برداشت
topic	موضوع
torsion	مروڑ
torsional vibration	مروڑی ارتعاش
toroid, torus	چھلا، اندرسہ
torque, moment arm	قوت مروڑ، معیار اثر کا بازو
torque: moment of force	قوت کا معیار اثر
total	کُل
totality	کل تعداد
total internal reflection	مکمل اندرونی انعکاس
touch	مس
trace (of matrix)	آثار قالب
traffic	آمد و رفت
trajectory	خط حرکت
transadmittance	فراوانی نما
transcendental equations	ماورائی مساوات
transconductance, transresistance	موصلیت-نما، مزاحمت-نما
transducer	مبدل
transfer	منتقل
transfer function: networks H(s)	تبادلی تفاعل
transformer oil	ٹرانسفارمر تیل
transform	تبادل
transform, laplace transform	لاپلاس بدل
transform: to transform	تبادلہ کرنا
transformation	مبدل
transformation: impedance transformation	برقی رکاؤٹ کا تبادلہ
transformation:angular transformation, linear transformation	خطی تبادلہ، زاویائی تبادلہ
transient state, steady state	برقرار چالو، عارضی صورت
transient, transient state,transient state operation	عارضی، عارضی حالت، عارضی حال میں چالو
transistor: active mode	افزائندہ حال
transistor: saturation mode	غیر-افزائندہ حال
transistor: cutoff mode	منقطع حال
transition from one state to another	تحویل
transition frequency	تحویلی تعدد
transition probability	تحویلی احتمال
transition rate	تحویلی شرح
transitional period	 تحویلی دوری عرصہ
translation	مستقیم حرکت
transmission coefficient	شرح ترسیل، ترسیلی مستقل
transmitter	ٹرانسمٹر، مرسل، ترسیل کنندہ
transmitting antenna	اخراجی اینٹینا، ترسیلی اینٹینا
transmission lines	ترسیلی تار
transposition (of matrix)	تبدیلی محل
transpose matrix G^T	تبدیل محل قالب
transverse electric wave impedance, transverse magnetic wave impedance	عرضی برقی موج کی رکاوٹ، عرضی مقناطیسی موج کی رکاوٹ
transverse wave	عرضی موج
trapezium (matric)	ذوزنقہ
trapezium rule	قاعدہ ذوزنقہ
traverse	چلنا
tree diagram	شکل شجرہ
trend: positive trend, negative trend	مثبت رجحان، منفی رجحان
TEM, TE, TM	عرضی برقی و مقناطیسی، عرضی برقی، عرضی مقناطیسی
triad (maths, unit orthogonal vectors, fundamental orthogonal triad)	ثلاثہ قائمہ اکائی سمتیات
trial, [trial function]	کوشش، [آزمائشی تفاعل]
triangular lower matrix, triangular upper matrix	بالائی تکانی قالب، نچلا تکونی قالب
triangular wave	تکونی موج
triangle: right angle triangle	قائم مثلث
trigger	حرکت میں لانا، متحرک کرنا
trignometric ratio	تکونیاتی نسبتیں
trignometric Fourier series	تکونیاتی  فوریئر تسلسل
trihedron (maths)	سہ سطحی مجسم
triple integral	تہرا تکمل
triple product (scalar triple product)	غیر سمتی سہ ضرب
triplet	تین کی جوڑی
triplet, singlet (quantum mech)	یک تا، سہ تا
trisection (division  into three equal parts)	تثلیث
Tri-state	سہ حال
trivial	حقیر، بے وقعت، حقیر سا کام
trivial solution (maths), non trivial solution	غیر اہم صفر حل، غیر صفر اہم حل، حقیر، غیر حقیر، مہمل
truncation	حذف کرنا
trochoid	زیر تدویری
trough(shape)	کونڈا
trough: (read wave)	نشیب
true, false, high, low, high state	درست، غلط، بلند حال، پست حال
truth table	فہرستِ درستگی
tuned	ہمسر
tunneling, tunneling effect, tunneling rate	سرنگ زنی، سرنگ زنی اثر، سرنگ زنی شرح
tuple:  N tuple	این اجزائی
turbine: water turbine	چرخاب
turns	چکر
turn on, turn off	چالو، منقطع
turn on, turn off	بیدار ہونا، سو جانا
turning point (quantum mech)	واپس پلٹنے والا نقطہ, واپسیں نقطہ
TV	ٹیلی ویژن
two port network	چار سر دور
twisted curve	بلدار منحنی، ٹیڑھی میڑھی منحنی
typical value	علامتی قیمت
typist	ٹائپ کار
ubiquitous	جگہ جگہ پائے جانا
ultraviolet	بالائے بصری شعاع
Ultra-relativistic	بالائے اضافیتی
unbiased	غیر جانب دارانہ
uncertainty principle, [uncertainty]	عدم یقینیت کا اصول، [عدم یقینیت]
uncovered charges	بے پردہ، نمودار
undamped	بلا تقصیر
undamped natural frequency	بلا تقصیر قدرتی تعدد
undefined	غیر معین
